Image,Path,Class,Target
000000000322.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000000322.jpg,fake,0
000000000595.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000000595.jpg,fake,0
000000000692.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000000692.jpg,fake,0
000000000762.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000000762.jpg,fake,0
000000001355.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000001355.jpg,fake,0
000000001688.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000001688.jpg,fake,0
000000001700.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000001700.jpg,fake,0
000000001781.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000001781.jpg,fake,0
000000001906.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000001906.jpg,fake,0
000000002072.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000002072.jpg,fake,0
000000002164.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000002164.jpg,fake,0
000000002232.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000002232.jpg,fake,0
000000002349.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000002349.jpg,fake,0
000000002448.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000002448.jpg,fake,0
000000003321.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000003321.jpg,fake,0
000000003366.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000003366.jpg,fake,0
000000003382.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000003382.jpg,fake,0
000000003870.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000003870.jpg,fake,0
000000004227.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000004227.jpg,fake,0
000000004731.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000004731.jpg,fake,0
000000004762.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000004762.jpg,fake,0
000000004888.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000004888.jpg,fake,0
000000004920.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000004920.jpg,fake,0
000000005018.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000005018.jpg,fake,0
000000005064.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000005064.jpg,fake,0
000000005174.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000005174.jpg,fake,0
000000005184.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000005184.jpg,fake,0
000000005373.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000005373.jpg,fake,0
000000005692.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000005692.jpg,fake,0
000000005715.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000005715.jpg,fake,0
000000006268.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000006268.jpg,fake,0
000000006287.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000006287.jpg,fake,0
000000006364.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000006364.jpg,fake,0
000000006517.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000006517.jpg,fake,0
000000006520.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000006520.jpg,fake,0
000000006608.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000006608.jpg,fake,0
000000006672.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000006672.jpg,fake,0
000000006720.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000006720.jpg,fake,0
000000007022.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000007022.jpg,fake,0
000000007115.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000007115.jpg,fake,0
000000007143.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000007143.jpg,fake,0
000000007753.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000007753.jpg,fake,0
000000007778.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000007778.jpg,fake,0
000000007867.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000007867.jpg,fake,0
000000008574.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000008574.jpg,fake,0
000000009045.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000009045.jpg,fake,0
000000009127.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000009127.jpg,fake,0
000000009226.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000009226.jpg,fake,0
000000009381.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000009381.jpg,fake,0
000000009668.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000009668.jpg,fake,0
000000010125.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000010125.jpg,fake,0
000000010318.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000010318.jpg,fake,0
000000010689.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000010689.jpg,fake,0
000000010743.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000010743.jpg,fake,0
000000010825.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000010825.jpg,fake,0
000000010900.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000010900.jpg,fake,0
000000011233.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000011233.jpg,fake,0
000000011262.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000011262.jpg,fake,0
000000011485.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000011485.jpg,fake,0
000000011487.jpg,C://Users/Shreyas/Desktop/Deepfake/TEST/FAKE\000000011487.jpg,fake,0
